createdAt,valveNumber,textDetail,alarmFaultId,predictingAlgoId,alarmActivated,criticityId
2024-01-03 19:00:00,136,Bottle burst,368,61,1,2
2024-01-03 23:00:00,136,back to normal,368,61,0,1
2024-01-07 07:00:00,37,Param_1 precision decreasing,337,58,1,3
2024-01-17 23:00:00,37,back to normal Param_1,337,58,0,1
2024-01-21 07:00:00,37,Param_1 precision decreasing,337,58,1,3
2024-01-21 19:00:00,47,Bottle burst,368,61,1,2
2024-01-21 19:00:00,48,Bottle burst,368,61,1,2
2024-01-21 19:00:00,50,Bottle burst,368,61,1,2
2024-01-21 21:00:00,47,back to normal,368,61,0,1
2024-01-21 21:00:00,48,back to normal,368,61,0,1
2024-01-21 21:00:00,50,back to normal,368,61,0,1
2024-01-23 07:00:00,37,back to normal Param_1,337,58,0,1
2024-01-25 07:00:00,37,Param_1 precision decreasing,337,58,1,3
2024-01-25 23:00:00,37,back to normal Param_1,337,58,0,1
2024-01-26 09:00:00,136,Bottle burst,368,61,1,2
2024-01-26 11:00:00,136,back to normal,368,61,0,1
2024-01-26 15:00:00,136,Bottle burst,368,61,1,2
2024-01-26 17:00:00,136,back to normal,368,61,0,1
2024-01-28 07:00:00,20,Param_1 precision decreasing,337,58,1,3
2024-01-29 07:00:00,20,back to normal Param_1,337,58,0,1
2024-01-29 17:00:00,73,Bottle burst,368,61,1,2
2024-01-29 17:00:00,111,Bottle burst,368,61,1,2
2024-01-29 17:00:00,130,Bottle burst,368,61,1,2
2024-01-29 21:00:00,73,back to normal,368,61,0,1
2024-01-29 21:00:00,111,back to normal,368,61,0,1
2024-01-29 21:00:00,130,back to normal,368,61,0,1
2024-01-31 15:00:00,37,Param_1 precision decreasing,337,58,1,3
2024-02-01 15:00:00,67,Param_1 precision decreasing,337,58,1,3
2024-02-01 23:00:00,37,back to normal Param_1,337,58,0,1
2024-02-01 23:00:00,67,Param_1 precision decreasing,337,58,1,3
2024-02-05 23:00:00,131,Param_1 precision decreasing,337,58,1,3
2024-02-06 07:00:00,67,Param_1 precision decreasing,337,58,1,3
2024-02-07 07:00:00,67,Param_1 precision decreasing,337,58,1,3
2024-02-15 23:00:00,67,back to normal Param_1,337,58,0,1
2024-02-15 23:00:00,106,back to normal Param_1,313,59,0,1
2024-02-15 23:00:00,106,back to normal Param_1,337,58,0,1
2024-02-15 23:00:00,119,back to normal Param_1,313,59,0,1
2024-02-15 23:00:00,119,back to normal Param_1,337,58,0,1
2024-02-15 23:00:00,131,back to normal Param_1,337,58,0,1
2024-02-15 23:00:00,136,back to normal Param_1,337,58,0,1
2024-02-16 23:00:00,67,Param_1 precision decreasing,337,58,1,3
2024-02-17 23:00:00,67,back to normal Param_1,337,58,0,1
2024-02-19 07:00:00,136,Bottle burst,368,61,1,2
2024-02-19 09:00:00,136,back to normal,368,61,0,1
2024-03-02 15:00:00,13,Bottle burst,368,61,1,2
2024-03-02 15:00:00,49,Bottle burst,368,61,1,2
2024-03-02 19:00:00,13,back to normal,368,61,0,1
2024-03-02 19:00:00,49,back to normal,368,61,0,1
2024-03-04 13:00:00,64,Bottle burst,368,61,1,2
2024-03-05 11:00:00,64,back to normal,368,61,0,1
2024-03-05 15:00:00,64,Param_1 manual mode,394,59,1,1
2024-03-06 23:00:00,64,above: Param_5,394,59,0,1
2024-03-06 23:00:00,64,above: Param_2,394,59,0,1
2024-03-06 23:00:00,64,above: Param_3,394,59,0,1
2024-03-06 23:00:00,64,above: Param_4,394,59,0,1
2024-03-06 23:00:00,64,above: Param_6,394,59,0,1
2024-03-06 23:00:00,64,Param_1 increasing,394,59,0,1
2024-03-07 07:00:00,13,Param_1 manual mode,394,59,1,1
2024-03-07 15:00:00,13,Param_1 precision decreasing,337,58,1,3
2024-03-07 21:00:00,74,Bottle burst,368,61,1,2
2024-03-07 23:00:00,74,back to normal,368,61,0,1
2024-03-07 23:00:00,74,Param_1 precision decreasing,337,58,1,3
2024-03-08 07:00:00,13,back to normal Param_1,337,58,0,1
2024-03-08 09:00:00,13,Bottle burst,368,61,1,2
2024-03-08 11:00:00,74,Bottle burst,368,61,1,2
2024-03-08 13:00:00,13,back to normal,368,61,0,1
2024-03-08 17:00:00,74,back to normal,368,61,0,1
2024-03-09 01:00:00,121,Bottle burst,368,61,1,2
2024-03-09 03:00:00,121,back to normal,368,61,0,1
2024-03-09 07:00:00,13,above: Param_6,394,59,0,1
2024-03-09 07:00:00,13,Param_1 increasing,394,59,0,1
2024-03-09 07:00:00,13,above: Param_5,394,59,0,1
2024-03-09 07:00:00,13,above: Param_2,394,59,0,1
2024-03-09 07:00:00,13,above: Param_3,394,59,0,1
2024-03-09 07:00:00,13,above: Param_4,394,59,0,1
2024-03-09 07:00:00,74,back to normal Param_1,337,58,0,1
2024-03-09 17:00:00,121,Bottle burst,368,61,1,2
2024-03-09 19:00:00,121,back to normal,368,61,0,1
2024-03-10 07:00:00,85,Param_1 precision decreasing,337,58,1,3
2024-03-11 07:00:00,120,Bottle burst,368,61,1,2
2024-03-11 11:00:00,120,back to normal,368,61,0,1
2024-03-11 23:00:00,85,back to normal Param_1,337,58,0,1
2024-03-15 15:00:00,67,Param_1 precision decreasing,337,58,1,3
2024-03-18 15:00:00,67,back to normal Param_1,337,58,0,1
2024-03-18 19:00:00,64,Bottle burst,368,61,1,2
2024-03-18 23:00:00,64,back to normal,368,61,0,1
2024-03-19 15:00:00,38,Param_1 manual mode,394,59,1,1
2024-03-19 15:00:00,67,Param_1 precision decreasing,337,58,1,3
2024-03-19 15:00:00,85,Param_1 manual mode,394,59,1,1
2024-03-19 15:00:00,110,Param_1 manual mode,394,59,1,1
2024-03-20 07:00:00,110,above: Param_2,394,59,0,1
2024-03-20 07:00:00,110,above: Param_3,394,59,0,1
2024-03-20 07:00:00,110,above: Param_4,394,59,0,1
2024-03-20 07:00:00,110,above: Param_6,394,59,0,1
2024-03-20 07:00:00,110,Param_1 increasing,394,59,0,1
2024-03-20 07:00:00,110,above: Param_5,394,59,0,1
2024-03-21 07:00:00,67,back to normal Param_1,337,58,0,1
2024-03-21 07:00:00,85,above: Param_4,394,59,0,1
2024-03-21 07:00:00,85,above: Param_6,394,59,0,1
2024-03-21 07:00:00,85,Param_1 increasing,394,59,0,1
2024-03-21 07:00:00,85,above: Param_5,394,59,0,1
2024-03-21 07:00:00,85,above: Param_2,394,59,0,1
2024-03-21 07:00:00,85,above: Param_3,394,59,0,1
2024-03-21 23:00:00,32,Param_1 manual mode,394,59,1,1
2024-03-21 23:00:00,87,Param_1 manual mode,394,59,1,1
2024-03-22 07:00:00,9,Param_1 manual mode,394,59,1,1
2024-03-26 07:00:00,9,above: Param_5,394,59,0,1
2024-03-26 07:00:00,9,above: Param_3,394,59,0,1
2024-03-26 07:00:00,9,Param_1 increasing,394,59,0,1
2024-03-26 07:00:00,9,above: Param_6,394,59,0,1
2024-03-26 07:00:00,9,above: Param_2,394,59,0,1
2024-03-26 07:00:00,9,above: Param_4,394,59,0,1
2024-03-26 07:00:00,35,Param_1 manual mode,394,59,1,1
2024-03-26 07:00:00,38,above: Param_4,394,59,0,1
2024-03-26 07:00:00,38,above: Param_5,394,59,0,1
2024-03-26 07:00:00,38,above: Param_3,394,59,0,1
2024-03-26 07:00:00,38,above: Param_6,394,59,0,1
2024-03-26 07:00:00,38,above: Param_2,394,59,0,1
2024-03-26 07:00:00,38,Param_1 increasing,394,59,0,1
2024-03-26 07:00:00,87,Param_1 increasing,394,59,0,1
2024-03-26 07:00:00,87,above: Param_4,394,59,0,1
2024-03-26 07:00:00,87,above: Param_5,394,59,0,1
2024-03-26 07:00:00,87,above: Param_3,394,59,0,1
2024-03-26 07:00:00,87,above: Param_6,394,59,0,1
2024-03-26 07:00:00,87,above: Param_2,394,59,0,1
2024-03-26 07:00:00,105,Param_1 manual mode,394,59,1,1
2024-03-26 15:00:00,32,above: Param_6,394,59,0,1
2024-03-26 15:00:00,32,above: Param_5,394,59,0,1
